Time segment,Holiday,Weekend Exit,Season,Weekend Return,Number
10-14,No,No,Fall,No,636
10-14,No,No,Fall,Yes,0
10-14,No,No,Spring,No,642
10-14,No,No,Spring,Yes,0
10-14,No,No,Summer,No,589
10-14,No,No,Summer,Yes,0
10-14,No,No,Winter,No,601
10-14,No,No,Winter,Yes,0
10-14,No,Yes,Fall,No,184
10-14,No,Yes,Fall,Yes,0
10-14,No,Yes,Spring,No,157
10-14,No,Yes,Spring,Yes,0
10-14,No,Yes,Summer,No,163
10-14,No,Yes,Summer,Yes,0
10-14,No,Yes,Winter,No,146
10-14,No,Yes,Winter,Yes,0
10-14,Yes,No,Fall,No,146
10-14,Yes,No,Fall,Yes,112
10-14,Yes,No,Spring,No,137
10-14,Yes,No,Spring,Yes,112
10-14,Yes,No,Summer,No,143
10-14,Yes,No,Summer,Yes,77
10-14,Yes,No,Winter,No,143
10-14,Yes,No,Winter,Yes,94
10-14,Yes,Yes,Fall,No,1
10-14,Yes,Yes,Fall,Yes,0
10-14,Yes,Yes,Spring,No,1
10-14,Yes,Yes,Spring,Yes,0
10-14,Yes,Yes,Summer,No,4
10-14,Yes,Yes,Summer,Yes,0
10-14,Yes,Yes,Winter,No,5
10-14,Yes,Yes,Winter,Yes,0
14-18,No,No,Fall,No,620
14-18,No,No,Fall,Yes,0
14-18,No,No,Spring,No,699
14-18,No,No,Spring,Yes,0
14-18,No,No,Summer,No,622
14-18,No,No,Summer,Yes,0
14-18,No,No,Winter,No,514
14-18,No,No,Winter,Yes,0
14-18,No,Yes,Fall,No,192
14-18,No,Yes,Fall,Yes,0
14-18,No,Yes,Spring,No,198
14-18,No,Yes,Spring,Yes,0
14-18,No,Yes,Summer,No,152
14-18,No,Yes,Summer,Yes,0
14-18,No,Yes,Winter,No,161
14-18,No,Yes,Winter,Yes,0
14-18,Yes,No,Fall,No,127
14-18,Yes,No,Fall,Yes,138
14-18,Yes,No,Spring,No,157
14-18,Yes,No,Spring,Yes,125
14-18,Yes,No,Summer,No,128
14-18,Yes,No,Summer,Yes,76
14-18,Yes,No,Winter,No,171
14-18,Yes,No,Winter,Yes,104
14-18,Yes,Yes,Fall,No,5
14-18,Yes,Yes,Fall,Yes,0
14-18,Yes,Yes,Spring,No,3
14-18,Yes,Yes,Spring,Yes,0
14-18,Yes,Yes,Summer,No,1
14-18,Yes,Yes,Summer,Yes,0
14-18,Yes,Yes,Winter,No,7
14-18,Yes,Yes,Winter,Yes,0
18-22,No,No,Fall,No,790
18-22,No,No,Fall,Yes,0
18-22,No,No,Spring,No,790
18-22,No,No,Spring,Yes,0
18-22,No,No,Summer,No,765
18-22,No,No,Summer,Yes,0
18-22,No,No,Winter,No,703
18-22,No,No,Winter,Yes,0
18-22,No,Yes,Fall,No,271
18-22,No,Yes,Fall,Yes,0
18-22,No,Yes,Spring,No,264
18-22,No,Yes,Spring,Yes,0
18-22,No,Yes,Summer,No,256
18-22,No,Yes,Summer,Yes,0
18-22,No,Yes,Winter,No,265
18-22,No,Yes,Winter,Yes,0
18-22,Yes,No,Fall,No,176
18-22,Yes,No,Fall,Yes,114
18-22,Yes,No,Spring,No,167
18-22,Yes,No,Spring,Yes,104
18-22,Yes,No,Summer,No,116
18-22,Yes,No,Summer,Yes,121
18-22,Yes,No,Winter,No,157
18-22,Yes,No,Winter,Yes,97
18-22,Yes,Yes,Fall,No,2
18-22,Yes,Yes,Fall,Yes,0
18-22,Yes,Yes,Spring,No,5
18-22,Yes,Yes,Spring,Yes,0
18-22,Yes,Yes,Summer,No,2
18-22,Yes,Yes,Summer,Yes,0
18-22,Yes,Yes,Winter,No,0
18-22,Yes,Yes,Winter,Yes,0
2-6,No,No,Fall,No,57
2-6,No,No,Fall,Yes,0
2-6,No,No,Spring,No,29
2-6,No,No,Spring,Yes,0
2-6,No,No,Summer,No,49
2-6,No,No,Summer,Yes,0
2-6,No,No,Winter,No,27
2-6,No,No,Winter,Yes,0
2-6,No,Yes,Fall,No,18
2-6,No,Yes,Fall,Yes,0
2-6,No,Yes,Spring,No,21
2-6,No,Yes,Spring,Yes,0
2-6,No,Yes,Summer,No,25
2-6,No,Yes,Summer,Yes,0
2-6,No,Yes,Winter,No,25
2-6,No,Yes,Winter,Yes,0
2-6,Yes,No,Fall,No,40
2-6,Yes,No,Fall,Yes,36
2-6,Yes,No,Spring,No,17
2-6,Yes,No,Spring,Yes,6
2-6,Yes,No,Summer,No,29
2-6,Yes,No,Summer,Yes,19
2-6,Yes,No,Winter,No,20
2-6,Yes,No,Winter,Yes,34
2-6,Yes,Yes,Fall,No,1
2-6,Yes,Yes,Fall,Yes,0
2-6,Yes,Yes,Spring,No,0
2-6,Yes,Yes,Spring,Yes,0
2-6,Yes,Yes,Summer,No,2
2-6,Yes,Yes,Summer,Yes,0
2-6,Yes,Yes,Winter,No,0
2-6,Yes,Yes,Winter,Yes,0
22-2,No,No,Fall,No,170
22-2,No,No,Fall,Yes,0
22-2,No,No,Spring,No,139
22-2,No,No,Spring,Yes,0
22-2,No,No,Summer,No,264
22-2,No,No,Summer,Yes,0
22-2,No,No,Winter,No,134
22-2,No,No,Winter,Yes,0
22-2,No,Yes,Fall,No,38
22-2,No,Yes,Fall,Yes,0
22-2,No,Yes,Spring,No,53
22-2,No,Yes,Spring,Yes,0
22-2,No,Yes,Summer,No,50
22-2,No,Yes,Summer,Yes,0
22-2,No,Yes,Winter,No,42
22-2,No,Yes,Winter,Yes,0
22-2,Yes,No,Fall,No,86
22-2,Yes,No,Fall,Yes,78
22-2,Yes,No,Spring,No,56
22-2,Yes,No,Spring,Yes,49
22-2,Yes,No,Summer,No,70
22-2,Yes,No,Summer,Yes,71
22-2,Yes,No,Winter,No,76
22-2,Yes,No,Winter,Yes,51
22-2,Yes,Yes,Fall,No,5
22-2,Yes,Yes,Fall,Yes,0
22-2,Yes,Yes,Spring,No,1
22-2,Yes,Yes,Spring,Yes,0
22-2,Yes,Yes,Summer,No,0
22-2,Yes,Yes,Summer,Yes,0
22-2,Yes,Yes,Winter,No,2
22-2,Yes,Yes,Winter,Yes,0
6-10,No,No,Fall,No,522
6-10,No,No,Fall,Yes,0
6-10,No,No,Spring,No,466
6-10,No,No,Spring,Yes,0
6-10,No,No,Summer,No,347
6-10,No,No,Summer,Yes,0
6-10,No,No,Winter,No,418
6-10,No,No,Winter,Yes,0
6-10,No,Yes,Fall,No,156
6-10,No,Yes,Fall,Yes,0
6-10,No,Yes,Spring,No,97
6-10,No,Yes,Spring,Yes,0
6-10,No,Yes,Summer,No,109
6-10,No,Yes,Summer,Yes,0
6-10,No,Yes,Winter,No,121
6-10,No,Yes,Winter,Yes,0
6-10,Yes,No,Fall,No,48
6-10,Yes,No,Fall,Yes,43
6-10,Yes,No,Spring,No,40
6-10,Yes,No,Spring,Yes,32
6-10,Yes,No,Summer,No,45
6-10,Yes,No,Summer,Yes,42
6-10,Yes,No,Winter,No,47
6-10,Yes,No,Winter,Yes,31
6-10,Yes,Yes,Fall,No,2
6-10,Yes,Yes,Fall,Yes,0
6-10,Yes,Yes,Spring,No,2
6-10,Yes,Yes,Spring,Yes,0
6-10,Yes,Yes,Summer,No,2
6-10,Yes,Yes,Summer,Yes,0
6-10,Yes,Yes,Winter,No,0
6-10,Yes,Yes,Winter,Yes,0
